Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Pancake senza uova,155.0,27.0,7.9,3.5,1.96,0.9,10.0,17.0
Petto di pollo ai peperoni,378.0,14.0,8.2,18.2,6.52,3.1,115.0,355.0
Insalata di ceci estiva,154.0,10.5,6.1,9.3,3.04,7.6,10.0,677.0
Pasta e fagioli,748.0,96.5,8.4,28.2,8.7,12.4,33.0,837.0
Rose del deserto,67.0,8.2,3.3,3.3,1.43,0.5,13.0,20.0
Cheesecake alle ciliegie,600.0,64.6,52.3,32.2,19.31,1.1,126.0,234.0
Brasato al Barolo,638.0,6.6,6.6,35.6,9.95,2.0,161.0,451.0
Risotto ai funghi,488.0,49.7,1.5,25.8,13.3,5.4,63.0,410.0
Zucchine ripiene alla Ligure,340.0,23.0,5.0,18.3,4.98,3.4,39.0,496.0
Croissant,252.0,29.6,3.8,12.7,7.16,0.9,60.0,217.0
Paccheri al sugo di calamari,465.0,69.9,5.8,9.7,2.03,3.6,64.0,488.0
Pan di spagna al cacao,,,,,,,,
Spezzatino con piselli,467.0,33.8,7.0,12.7,2.47,6.4,138.0,936.0
Torta all'acqua al cioccolato,368.0,54.6,33.1,14.9,3.57,1.4,0.0,3.0
Penne all'Arrabbiata,394.0,69.0,5.1,837.0,1.27,3.1,0.0,307.0
Insalata greca,527.0,13.5,13.5,43.7,17.63,5.0,70.0,1482.0
Crema catalana,329.0,51.6,45.3,10.3,4.6,1.3,281.0,73.0
Mattonella allo yogurt con frutti di bosco,219.0,18.0,14.6,13.8,7.66,1.4,39.0,73.0
Torta di yogurt al cioccolato,590.0,69.9,47.1,30.0,11.58,1.4,113.0,51.0
Cinnamon rolls,379.0,73.0,34.1,6.7,3.67,1.6,35.0,177.0
Quinoa con verdure,244.0,35.6,3.4,7.4,1.0,5.1,0.0,322.0
Pasta biscotto,221.0,38.5,25.9,4.1,1.47,0.4,169.0,63.0
Polpette di verdure,546.0,17.0,3.8,47.6,11.49,3.4,117.0,405.0
Focaccia col formaggio (di Recco),,,,,,,,
Torta di ciliegie,329.0,49.1,24.5,12.3,6.76,1.3,105.0,34.0
Confettura di albicocche,109.0,26.8,26.8,0.1,0.01,1.2,0.0,1.0
Seppie con piselli,276.0,14.2,8.2,11.6,2.18,13.9,80.0,813.0
Torta Mars,386.0,47.3,34.2,20.1,11.14,0.3,27.0,343.0
Scaloppine ai funghi,277.0,9.7,1.8,14.8,7.05,3.14,101.0,443.0
Pennette alla boscaiola,,,,,,,,
Orata al cartoccio,195.0,2.0,2.0,7.0,1.19,0.8,98.0,405.0
Strudel di mele,376.0,58.0,34.0,11.9,5.01,3.7,54.0,292.0
Riso freddo con tonno zucchine e limone,420.0,63.7,3.4,11.9,1.95,3.0,21.0,596.0
Parmigiana bianca di zucchine,,,,,,,,
Calamari ripieni,265.0,17.0,0.9,13.0,3.76,1.0,114.0,708.0
Pollo alla salsa di soia,204.0,8.6,8.3,5.1,0.92,0.9,75.0,739.0
Vellutata di zucchine,271.0,6.9,6.6,24.8,5.6,4.5,15.0,576.0
Crostata morbida al cioccolato,549.0,47.9,38.4,36.0,20.66,1.0,134.0,76.0
Torta Oreo,580.0,44.2,28.8,41.2,21.2,1.4,97.0,527.0
Ravioli ricotta e spinaci,257.0,7.5,2.6,16.5,8.62,2.1,293.0,703.0
Cheesecake tiramisu,618.0,35.9,26.3,47.5,26.39,0.8,315.0,171.0
Biscotti con gocce di cioccolato,116.0,15.9,6.5,5.0,2.82,0.3,22.0,38.0
Cordon bleu di melanzane,857.0,47.9,3.5,63.7,12.7,3.8,148.0,1513.0
Caprese al limone,347.0,29.8,26.1,22.3,8.11,2.8,133.0,127.0
Couscous freddo di pollo,499.0,46.2,5.4,10.0,1.78,5.8,120.0,890.0
Pennette con speck e zucchine,552.0,68.7,4.7,18.5,4.4,3.7,56.0,1268.0
Pasta con crema di peperoni,397.0,73.5,9.4,6.9,1.03,3.8,0.0,331.0
American muffin,292.0,42.4,18.8,11.2,6.31,0.9,64.0,120.0
Pizzoccheri alla valtellinese,799.0,115.3,4.2,28.1,15.68,4.9,79.0,3146.0
Pizza Margherita,1679.0,198.0,16.0,67.2,27.18,10.3,93.0,2995.0
Spaghetti aglio olio e peperoncino,462.0,66.7,2.4,17.8,2.59,2.2,0.0,497.0
Risotto al pomodoro,550.0,92.7,5.0,14.4,5.36,3.1,23.0,830.0
