Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Vol-au-vent ripieni,436.0,29.4,1.0,30.4,10.37,1.3,77.0,374.0
Aperitivo di fiori e frutta,346.0,25.2,2.1,24.9,3.32,2.5,0.0,310.0
Gamberi aglio e peperoncino,158.0,2.4,2.3,12.4,1.81,0.2,101.0,296.0
Medaglioni di polenta,238.0,19.2,0.7,13.1,5.4,0.7,35.0,662.0
Bicchierini salati al salmone spuma di formaggio e crumble alle erbe,420.0,13.1,3.6,31.1,16.84,1.1,93.0,1530.0
Tris di cheesecake salate,802.0,36.2,7.1,65.8,36.52,3.2,180.0,1684.0
Bocconcini di salmone speziato croccante,,,,,,,,
Mondeghili (Polpette milanesi),292.0,9.4,1.5,15.4,8.17,0.7,62.0,227.0
Crocchette di riso con provola e prosciutto cotto,266.0,14.7,0.7,20.0,6.3,0.4,58.0,349.0
Involtini di pasta fillo vegetariani,491.0,17.8,2.3,44.0,11.71,1.7,20.0,288.0
Crocchette di piselli e ricotta,,,,,,,,
Rotolo di frittata con prosciutto e scamorza,558.0,15.3,4.0,40.1,20.24,0.7,422.0,1017.0
Nodini di parmigiano,112.0,10.4,0.7,6.6,3.8,0.5,32.0,72.0
Uova ripiene,149.0,4.1,0.8,10.7,2.55,0.8,192.0,428.0
Calzoni di patate,,,,,,,,
Bruschette brunch,479.0,44.1,4.1,27.8,4.36,4.5,139.0,765.0
Fiori di zucca ripieni di carne,135.0,6.4,0.4,10.0,2.68,0.3,23.0,86.0
Fichi ripieni,179.0,7.1,7.1,12.3,5.0,1.4,32.0,1045.0
Carpaccio di pesce spada al pepe verde e rosa,248.0,4.7,4.7,18.3,4.1,0.7,63.0,598.0
Torta di salmone,387.0,20.9,1.5,24.2,13.29,2.9,78.0,1480.0
Mozzarella stick,,,,,,,,
Torta salata funghi e patate,471.0,31.0,2.9,31.0,13.34,4.8,113.0,627.0
Cream tart salata,538.0,37.0,4.9,38.5,20.66,3.5,132.0,698.0
Polpette di alici,,,,,,,,
Torta al testo,,,,,,,,
Bastoncini di pollo aromatici,157.0,8.8,1.5,2.0,0.67,1.2,106.0,120.0
Fagottini alla mortadella,169.0,9.3,0.7,12.6,4.71,0.7,29.0,145.0
Rotolini di crepe ripieni,376.0,17.1,3.6,23.4,12.5,1.7,130.0,892.0
Torta 7 vasetti alle zucchine,,,,,,,,
Frittata di melanzane e pomodorini,645.0,7.9,7.9,53.3,15.69,3.5,451.0,902.0
Strudel salato con prosciutto funghi e fontina,325.0,26.5,2.5,16.6,6.03,5.2,61.0,542.0
Spanakopita,,,,,,,,
Souffle  al formaggio,588.0,20.7,5.5,41.8,21.95,0.8,257.0,647.0
Involtini in foglie di vite,391.0,68.1,8.3,8.8,1.38,13.5,0.0,623.0
Conetti salati con mousse di mortadella,245.0,11.2,0.8,19.9,8.25,0.6,31.0,460.0
Melanzane a pullastiello,608.0,12.5,3.0,53.3,12.63,2.5,158.0,910.0
Filetti di peperoni arrostiti con acciughe ai sapori,110.0,8.3,8.1,4.5,0.78,2.1,30.0,956.0
Barchette croccanti con mousse di tonno,609.0,21.7,4.9,49.7,24.13,1.4,133.0,859.0
Bastoncini di pollo con salsa alla senape,70.0,3.2,0.8,4.0,0.73,0.6,22.0,139.0
Involtini di zucchine,,,,,,,,
Bocconcini di quinoa,219.0,26.8,2.0,7.1,2.89,3.6,61.0,407.0
Torretta di melanzane e mozzarella,487.0,4.7,4.7,37.5,19.59,3.2,77.0,579.0
Burek al formaggio,,,,,,,,
Uova alla greca,240.0,1.3,1.3,18.0,7.54,0.4,428.0,721.0
Samosa,599.0,35.2,1.8,48.3,6.28,2.7,0.0,103.0
Crostata salata alla ricotta e fiori di zucca,299.0,22.6,3.5,18.5,10.73,1.2,92.0,322.0
Polpette di cavolfiore e curcuma,147.0,12.8,1.8,8.9,2.15,1.5,11.0,133.0
Bombette di patate e zucchine filanti,131.0,8.6,0.3,9.7,2.29,0.6,12.0,84.0
Rustici,90.0,5.5,0.3,6.7,2.7,0.3,7.0,103.0
Pomodori ripieni di panzanella,105.0,13.0,6.2,4.6,0.68,2.8,0.0,499.0
Nuvole di zucchine e pecorino,,,,,,,,
Uova alla benedettina,446.0,9.3,2.7,37.7,19.05,1.3,429.0,866.0
Caviale di zucchine con crema di gorgonzola,183.0,2.7,2.6,15.9,6.38,1.6,29.0,489.0
Polpette di cavolfiore,110.0,5.0,1.0,8.8,2.11,0.6,26.0,181.0
Spiedini di melone feta e rucola,224.0,8.7,8.7,15.5,10.72,1.1,52.0,1116.0
Frittelle di baccala,213.0,14.2,0.3,13.8,2.68,0.3,15.0,616.0
Tonno di coniglio,186.0,3.7,3.6,8.2,2.56,1.7,62.0,319.0
Friggitelli ripieni,157.0,11.5,2.6,8.0,2.9,1.3,48.0,278.0
Tortini di melanzane,390.0,12.6,12.6,26.1,11.23,10.0,60.0,1258.0
Clafoutis al salmone,186.0,11.0,2.4,9.7,2.34,0.9,107.0,784.0
Quiche con scarola e cubetti di cotto,320.0,16.6,3.6,22.0,9.77,1.4,106.0,522.0
Frittelle di cipolle di Tropea,230.0,10.6,3.0,20.1,2.28,1.0,0.0,792.0
Crocchette di salmone e patate,99.0,7.0,0.8,4.6,1.16,0.5,25.0,138.0
Sfoglie capresi,256.0,14.5,1.5,19.5,7.31,1.2,13.0,320.0
Strudel di verdure,347.0,31.9,6.4,20.4,10.39,4.1,84.0,475.0
Sformatini di ricotta,337.0,11.3,5.5,26.4,12.02,2.6,115.0,928.0
Biscotti con parmigiano e pecorino,,,,,,,,
Frittelle di zucchine croccanti,,,,,,,,
Pollo in carpione,881.0,22.4,3.7,55.9,6.87,1.9,150.0,435.0
Tartare di ricciola con salsa al mango,286.0,24.3,12.8,11.2,2.37,2.9,68.0,1202.0
Crocchette zucchine e speck,,,,,,,,
Spiedini di pomodorini e mozzarelline,341.0,3.3,3.3,29.1,10.69,1.4,34.0,448.0
Torta salata caprese,,,,,,,,
Torta salata di zucca,518.0,23.9,4.8,38.8,16.94,2.0,164.0,673.0
Blinis,72.0,5.2,0.9,3.3,1.51,0.2,29.0,379.0
Bruschetta caprese,442.0,35.2,3.2,26.6,4.67,3.2,35.0,764.0
Rotolini di piadina con salmone avocado e crema allo yogurt,390.0,13.0,4.1,30.8,5.96,2.2,28.0,470.0
Fiori di zucca ripieni di burrata e pomodori secchi,,,,,,,,
Filetto di tonno in crosta di noci e pistacchi,326.0,3.6,2.7,22.1,4.77,2.3,70.0,1161.0
Arancini di riso al forno,413.0,45.8,1.8,17.9,7.41,1.4,154.0,395.0
Pate' di fegato,105.0,3.2,3.2,6.0,1.13,0.6,186.0,188.0
Pasta frolla salata,444.0,45.5,1.3,25.6,14.59,1.5,117.0,475.0
Torta 5 minuti salata,235.0,12.5,3.0,14.9,4.22,2.6,99.0,419.0
Melanzane a beccafico,211.0,22.2,9.7,10.4,2.45,3.2,7.0,470.0
Crocchette di riso al forno,178.0,25.9,1.8,4.8,1.67,1.4,44.0,239.0
Crocchette di patate con cuore filante di mozzarella e prosciutto,291.0,22.1,1.1,17.5,5.77,1.4,70.0,392.0
Panissa ligure,711.0,40.7,2.8,53.6,10.16,10.4,0.0,498.0
Polpo alla galiziana (pulpo a la gallega),321.0,23.9,5.4,9.2,2.25,2.2,225.0,1031.0
Fagottini ai broccoli e ricotta,667.0,31.9,3.3,52.5,22.46,2.9,135.0,848.0
Polpette di tonno e ricotta con peperoni,,,,,,,,
Frittelle di zucchine trombetta e suoi fiori,586.0,24.5,1.5,47.3,10.87,1.7,127.0,838.0
Cozze fritte,,,,,,,,
Involtini di frittata,344.0,0.9,0.9,25.9,10.3,0.3,351.0,895.0
Tartufini di formaggio ai quattro colori,88.0,1.2,0.8,6.8,3.64,0.4,20.0,96.0
Quiche al salmone con asparagi e porri,517.0,35.4,7.5,32.7,16.81,3.6,140.0,1142.0
Insalata di seppie,,,,,,,,
Cotolette di melanzane alla parmigiana,404.0,10.2,2.7,34.9,7.98,1.9,142.0,280.0
Uova alla coque,64.0,0.0,0.0,4.4,1.59,0.0,186.0,69.0
Tris di bruschette,494.0,34.0,7.4,31.4,9.75,5.1,74.0,1119.0
Polpette di fagioli cannellini,217.0,31.1,3.0,7.3,1.26,8.9,0.0,764.0
Crocchette di patate e speck,251.0,14.2,0.7,18.3,4.66,1.2,54.0,351.0
Mini muffin salati ricotta e speck,77.0,5.9,0.4,4.4,1.26,0.2,25.0,157.0
Cazzilli palermitani,68.0,6.2,0.2,4.5,0.66,0.6,0.0,37.0
Pinzimonio di verdure,79.0,7.3,7.2,4.2,0.63,5.2,0.0,357.0
Mousse di salmone,260.0,29.1,3.6,10.0,5.21,2.9,52.0,864.0
Ceviche,,,,,,,,
Uova alla monachina,633.0,28.0,2.8,50.3,14.97,1.0,303.0,425.0
Tortini di verdure e formaggio,255.0,15.2,3.3,16.6,6.52,2.1,64.0,420.0
Muffin ai peperoni,216.0,14.6,1.8,13.8,3.92,0.7,66.0,262.0
Torta rustica ai 4 formaggi,516.0,19.2,2.1,37.6,17.6,1.1,82.0,739.0
Tonno sott'olio,229.0,0.2,0.2,17.7,4.3,0.1,56.0,3317.0
Gamberi gratinati,113.0,11.3,1.7,2.3,1.21,0.6,61.0,698.0
Frittata primavera,210.0,10.3,10.2,14.7,3.07,3.3,181.0,120.0
Carpaccio di spada affumicato con insalata di mele e rucola,314.0,16.6,14.5,19.8,3.65,4.0,21.0,1465.0
Tris di tartine,,,,,,,,
Crostino con salmone marinato,244.0,10.6,1.4,19.0,3.09,0.6,11.0,327.0
Crema fritta,78.0,7.0,3.4,4.9,1.24,0.1,32.0,29.0
Crostini rustici di polenta,596.0,27.0,1.8,39.5,16.03,2.8,108.0,1604.0
Pollo fritto con maionesi veloci,1288.0,56.9,8.3,90.7,13.48,3.2,324.0,717.0
Polpette di quinoa zucchine e stracchino,187.0,14.8,0.6,11.7,2.55,1.4,32.0,232.0
Muffin con feta e salmone,,,,,,,,
Rotolo ricotta e spinaci,359.0,5.3,4.2,27.0,12.46,1.1,328.0,685.0
Pancake salati con bacon e creme fraîche,443.0,23.2,4.1,31.0,10.76,2.3,133.0,648.0
Sciatt,197.0,14.3,1.2,12.3,3.43,0.6,9.0,536.0
Frittelle di verdure croccanti,,,,,,,,
Bruschetta con fichi e crudo dolce,417.0,41.6,9.7,18.6,9.64,2.2,63.0,1820.0
Polpette di zucchine e ricotta,244.0,15.0,5.6,14.5,6.71,2.9,90.0,539.0
Flan di asparagi,212.0,8.7,8.7,14.0,8.08,3.7,45.0,539.0
Bruschette al pomodoro,239.0,44.0,5.5,4.2,0.63,3.4,0.0,703.0
Suppli mozzarella e pomodoro,419.0,52.9,2.3,17.7,4.52,1.9,72.0,533.0
Torta salata ai carciofi,377.0,23.6,4.3,22.7,11.07,3.6,139.0,370.0
Bicchierini di riso venere e spada,165.0,18.5,1.6,7.7,1.26,1.5,14.0,224.0
Quiche svuotafrigo,565.0,23.0,4.2,42.8,18.86,1.8,178.0,826.0
Polpo ubriaco,328.0,4.3,4.2,14.4,2.71,0.8,162.0,1026.0
Grissini veloci di sfoglia al pomodoro,372.0,29.6,2.6,26.1,9.49,2.4,9.0,274.0
Torta rovesciata di zucchine e tonno,509.0,28.7,11.5,36.0,11.96,1.9,46.0,650.0
Vongole alla pescatora,163.0,1.8,1.8,11.9,1.64,0.4,38.0,340.0
Felafel con hummus veloce e salsa allo yogurt,1093.0,78.4,10.8,69.36,11.95,25.2,11.0,2500.0
Zucchine in pastella,,,,,,,,
Coni di bresaola e formaggio,254.0,0.2,0.2,23.2,13.7,0.2,76.0,478.0
Pizzette di zucchine estive,,,,,,,,
Polpette di pollo,292.0,8.6,0.4,25.3,4.37,0.4,62.0,303.0
Caprese Fingerfood,318.0,2.9,2.9,27.7,12.86,0.4,61.0,440.0
Nachos,620.0,51.7,1.5,37.7,11.62,1.8,51.0,1118.0
Tacchino tonne,539.0,3.9,3.8,19.2,4.22,1.7,276.0,453.0
Girelle di sfoglia con zucchine e prosciutto,182.0,9.4,0.7,13.8,5.06,0.8,17.0,300.0
Insalata di calamari,235.0,6.1,6.1,17.3,2.78,3.5,56.0,703.0
Polpettine di melanzane con cuore di scamorza,94.0,7.4,1.3,4.9,2.08,1.5,40.0,308.0
Flan di zucca,315.0,5.2,4.2,23.9,12.41,0.7,223.0,891.0
Girelle al prosciutto cotto e rucola,366.0,43.7,2.8,13.2,6.28,2.0,47.0,1121.0
Sarde in saor,556.0,13.3,13.3,45.2,8.59,1.8,63.0,413.0
Polenta chips,94.0,6.8,0.2,7.1,0.95,0.2,0.0,65.0
Taralli sugna e pepe,299.0,27.3,1.8,18.6,6.16,2.6,13.0,212.0
Biscotti salati al basilico,,,,,,,,
Sbriciolata di patate e salsiccia,744.0,50.1,2.1,44.9,13.54,1.5,141.0,1179.0
Avocado ripieno,410.0,10.5,10.5,34.0,4.08,5.8,93.0,627.0
Torta 7 vasetti salata,531.0,43.2,3.6,30.4,10.02,1.6,128.0,514.0
Rotolini di cetrioli,187.0,4.6,4.6,8.8,4.99,0.9,66.0,1111.0
Pasta con la zucca,508.0,72.9,7.2,17.9,3.91,3.2,15.0,635.0
Kaiserschmarren,,,,,,,,
Fusilli al pesto di zucchine con salmone,821.0,68.1,4.1,50.1,9.0,3.4,26.0,689.0
Devil's food cake,1219.0,125.8,90.8,72.6,42.1,4.1,216.0,208.0
Pasta al forno bianca,,,,,,,,
Millefoglie,766.0,84.5,35.3,43.0,17.05,2.1,274.0,509.0
Biscottini al burro con marmellata,154.0,20.2,9.8,7.3,4.01,0.4,59.0,3.0
Biscotti allo yogurt,,,,,,,,
Vellutata di zucca,205.0,10.5,8.0,16.2,4.8,2.0,16.0,1030.0
Pasta alla cenere,534.0,68.0,4.0,20.9,9.79,2.4,51.0,584.0
Fagottini di pasta sfoglia con cuore di mela,481.0,63.9,38.1,23.5,9.09,2.8,9.0,272.0
Occhio di bue,484.0,62.9,28.3,22.8,12.29,1.3,154.0,11.0
Torta gelato biscotto,636.0,69.2,40.3,34.9,20.62,2.1,135.0,146.0
Fregola con arselle,,,,,,,,
Pasta e ceci,569.0,79.8,8.6,18.2,3.78,14.0,16.0,1066.0
Risotto alla parmigiana,625.0,88.7,1.2,22.4,12.54,1.6,60.0,851.0
Pasta con zucchine e salsiccia,635.0,70.1,6.1,27.9,8.95,4.0,54.0,1264.0
Trenette al pesto patate e fagiolini,,,,,,,,
Pasta e ricotta,539.0,70.7,6.6,18.3,11.36,2.4,71.0,472.0
Salame di cioccolato senza uova,439.0,40.5,31.6,28.1,14.24,1.5,52.0,42.0
Tagliolini al limone,311.0,40.9,2.5,12.9,5.94,1.7,90.0,324.0
Torta chantilly,761.0,78.4,61.4,44.8,25.0,0.2,314.0,224.0
Mandorle pralinate,432.0,43.1,43.1,25.3,2.1,7.0,0.0,4.0
Pappardelle agli asparagi e gamberi,434.0,56.2,8.2,13.3,7.1,4.5,169.0,591.0
Torta al limone,538.0,64.7,38.4,28.5,16.08,0.7,179.0,44.0
Pasta tonno e limone,457.0,66.6,2.6,8.3,1.62,2.3,52.0,551.0
Pesche ripiene al forno,143.0,17.9,17.9,6.9,2.75,2.7,0.0,4.0
Torta di pere e cioccolato,591.0,62.6,43.6,31.8,16.57,4.3,155.0,48.0
Tarte tatin,435.0,59.0,35.2,20.3,11.56,2.8,83.0,153.0
Pappa al pomodoro,366.0,59.3,8.7,10.1,1.54,5.7,0.0,1274.0
Torta allo yogurt,481.0,61.4,27.6,21.9,11.98,0.8,155.0,216.0
Angel cake,244.0,51.1,35.8,0.5,0.06,0.6,0.0,306.0
Pizzicotti di pasta di mandorle,145.0,17.9,17.9,7.0,0.58,2.0,0.0,8.0
Torta con crema al limone,,,,,,,,
Crema diplomatica,,,,,,,,
Risotto mele e speck,614.0,82.6,12.6,21.3,10.4,4.1,70.0,635.0
Biscotti ai fiocchi d'avena,132.0,15.4,5.9,7.0,3.04,1.4,34.0,8.0
Praline al mascarpone,82.0,7.3,7.3,5.1,2.12,0.4,2.0,2.0
Ciambella marmorizzata,519.0,71.9,33.5,21.1,11.65,2.1,154.0,199.0
Cestini di frutta,,,,,,,,
Cheesecake al caffe,476.0,31.3,21.4,35.4,20.97,0.1,117.0,282.0
Muffin allo yogurt,274.0,34.9,15.9,12.2,6.69,0.7,88.0,102.0
Torta fredda alle albicocche,626.0,39.2,26.9,47.5,27.45,0.8,120.0,157.0
Clafoutis alle ciliegie,191.0,34.6,26.0,2.9,1.22,1.4,79.0,141.0
Muffin con il cuore,421.0,53.0,27.7,20.3,11.67,1.1,77.0,126.0
Torta ricotta e pere,532.0,61.5,57.1,27.2,10.05,2.5,112.0,65.0
Pasta fredda,666.0,79.3,11.2,27.7,8.73,7.3,42.0,576.0
Torta all'acqua,340.0,54.7,26.7,11.6,1.56,1.3,0.0,2.0
Garganelli con pesto di zucchine e gamberetti,794.0,65.0,3.5,49.5,9.66,3.9,132.0,728.0
Mezze maniche al tonno,,,,,,,,
Pasta al salmone,507.0,44.5,3.8,17.3,7.53,1.9,167.0,1936.0
Torta di mele e mascarpone,,,,,,,,
Pasta con pesce spada,502.0,68.9,4.8,16.1,2.68,3.2,44.0,364.0
Tortine alle carote,288.0,34.9,19.7,14.8,2.01,2.1,39.0,25.0
Genovese,473.0,80.1,16.0,9.0,2.45,5.8,7.0,393.0
Gnocchi di ricotta,418.0,32.0,6.7,22.3,11.64,2.0,129.0,606.0
Spritz,,,,,,,,
Mojito,209.0,20.4,20.4,0.3,0.03,1.4,0.0,21.0
Tartufi di cioccolato,54.0,3.7,3.6,4.0,2.13,0.4,3.0,10.0
Spaghetti con astice in bellavista,546.0,87.4,8.9,8.8,1.28,5.3,70.0,713.0
Cupcake al cioccolato,211.0,22.5,14.7,12.0,6.84,0.8,59.0,32.0
Pasta ai 4 formaggi,631.0,69.2,5.1,25.3,14.6,2.2,76.0,822.0
Cheesecake al caramello salato,816.0,64.8,45.3,57.1,29.68,0.8,200.0,403.0
Ciambella bicolore,458.0,61.5,28.0,19.4,10.7,1.5,151.0,209.0
Mud cake,591.0,58.4,44.1,36.3,21.02,1.7,117.0,67.0
Crema di zucca,221.0,16.2,6.4,15.6,2.4,2.0,0.0,1314.0
Crostata con mascarpone e gocce di cioccolato,,,,,,,,
Pasta choux (bigne),71.0,3.7,0.7,4.7,2.29,0.1,104.0,93.0
Torta moderna,458.0,42.1,38.6,29.3,16.11,2.6,59.0,37.0
Ciambellone,336.0,46.2,26.2,14.1,7.78,0.8,111.0,36.0
Sbriciolata alla Nutella,666.0,83.6,45.8,30.8,16.13,1.5,120.0,191.0
Lasagne al pesto,952.0,48.2,10.1,70.8,25.98,2.3,172.0,696.0
Risotto al limone e gamberetti,,,,,,,,
Crostata di pesche e amaretti,494.0,60.1,31.5,24.5,12.23,4.0,182.0,120.0
Delizie al limone,964.0,92.9,83.8,56.4,30.01,1.3,672.0,283.0
Crumble di mele,,,,,,,,
Bigne alla crema,53.0,6.2,3.9,2.6,1.29,0.1,44.0,36.0
Crostata di ricotta,633.0,68.1,34.8,34.6,19.67,1.4,233.0,57.0
Meringa alla francese (impasto base),20.0,4.7,4.7,0.0,0.0,0.0,0.0,4.0
Pasta e lenticchie,557.0,82.6,7.7,16.3,4.84,6.7,22.0,1298.0
Pesto di pistacchi,373.0,8.4,6.2,34.0,4.59,1.2,8.0,317.0
Pasta allo scarpariello,542.0,70.3,6.2,22.3,5.32,3.8,14.0,486.0
Spaghetti con le cozze,583.0,73.3,5.3,21.3,3.28,3.5,151.0,371.0
Spaghetti al tonno,398.0,69.7,6.0,4.6,0.85,3.4,24.0,425.0
Biscotti girandola,193.0,20.7,6.9,11.0,6.33,0.8,43.0,18.0
Tagliatelle ai funghi porcini,426.0,40.9,2.5,23.0,8.56,4.5,143.0,398.0
Torta margherita,,,,,,,,
Risotto alla crema di scampi,603.0,74.2,4.7,23.3,4.4,2.0,156.0,450.0
Cannelloni ricotta e spinaci,973.0,76.9,16.7,55.1,29.83,4.2,354.0,998.0
Biscotti al vino,97.0,15.6,5.3,2.8,0.39,0.3,0.0,32.0
Canestrelli,52.0,6.0,2.0,2.8,1.56,0.1,23.0,1.0
Crostata senza cottura,446.0,47.1,28.2,28.9,16.8,1.2,111.0,105.0
Baci di dama,,,,,,,,
Cannelloni,875.0,57.0,7.5,54.8,22.21,3.1,256.0,1392.0
French toast,164.0,10.3,4.2,12.2,6.82,0.2,94.0,162.0
Creme Caramel,,,,,,,,
Zuppa di ceci,356.0,46.0,7.5,11.0,1.65,12.4,0.0,1445.0
Torta soffice al limone,,,,,,,,
Orecchiette con le cime di rapa,448.0,69.9,8.1,11.3,1.73,8.4,6.0,1009.0
Zeppole di San Giuseppe al forno,536.0,71.8,38.4,21.3,10.65,1.2,368.0,402.0
Torta magica,342.0,38.2,27.2,17.8,9.86,0.4,148.0,218.0
Tagliatelle al ragu bianco,826.0,53.0,5.1,54.8,16.47,3.4,146.0,694.0
Cupcake,373.0,44.9,37.2,20.2,11.5,0.3,108.0,55.0
Crema Chantilly,309.0,15.6,15.6,26.3,15.32,0.0,79.0,30.0
Pesto alla siciliana,479.0,7.0,7.0,42.6,12.24,1.9,42.0,374.0
Torta di carote,548.0,77.0,39.0,21.9,2.97,3.7,102.0,275.0
Risotto ai funghi porcini,540.0,72.6,2.5,21.5,10.5,4.0,49.0,690.0
Maionese,179.0,0.1,0.1,19.7,2.78,0.0,40.0,90.0
Pasta e patate alla napoletana,844.0,98.4,8.0,43.6,13.24,6.5,35.0,406.0
Tzatziki,,,,,,,,
Canederli alla tirolese (Knödel),,,,,,,,
Torta mimosa classica,519.0,85.2,58.1,13.1,6.05,0.3,316.0,218.0
Limoncello,110.0,13.6,13.6,0.0,0.0,0.6,0.0,1.0
Pasta alla carbonara di zucchine,543.0,67.2,2.9,21.6,7.75,2.8,361.0,762.0
Zuppa di cipolle gratinata,848.0,44.2,8.5,68.3,17.93,2.7,56.0,600.0
Pavlova,,,,,,,,
Carbonara di mare,,,,,,,,
Torta al latte caldo,391.0,59.6,34.2,12.8,6.76,1.0,159.0,263.0
Bocconcini di tacchino e pancetta,58.0,0.9,0.5,2.9,0.93,0.6,16.0,75.0
Trota salmonata all'arancia,408.0,5.4,5.4,25.9,8.92,0.9,169.0,116.0
Filetto con porcini e tartufo ,445.0,2.4,2.2,23.4,5.82,3.6,150.0,460.0
Cosciotto di agnello al forno,379.0,0.0,0.0,10.4,4.21,0.0,267.0,150.0
Calamari con piselli,,,,,,,,
Uova al tegamino,245.0,0.3,0.3,24.4,4.49,0.2,186.0,560.0
Petto di pollo al forno con scamorza,390.0,12.7,7.1,15.0,4.81,2.1,133.0,760.0
Ombrina al cartoccio al profumo d'agrumi,257.0,4.2,4.2,13.2,2.16,1.7,87.0,433.0
Gallinella in  guazzetto,202.0,6.7,6.6,9.1,1.68,2.3,64.0,521.0
Salmone glassato al miele,837.0,91.1,32.4,38.1,13.6,6.4,90.0,2330.0
Polpo alla piastra su crema di patate,,,,,,,,
Nidi di patatine con uova,512.0,15.4,1.2,47.5,9.2,1.8,107.0,377.0
Straccetti di pollo al radicchio,361.0,13.1,13.1,16.6,2.64,3.8,97.0,363.0
Filetto di maiale all'arancia,440.0,5.3,5.2,23.0,6.43,1.7,153.0,363.0
Tonno con cipollata,,,,,,,,
Salsicce al sugo,727.0,9.2,9.2,65.8,23.96,2.2,79.0,1587.0
Hamburger di pollo,,,,,,,,
Braciole napoletane al sugo,,,,,,,,
Pollo yassa,747.0,52.2,10.6,40.8,9.03,4.6,170.0,603.0
Arrosto di maiale con prugne,561.0,33.8,32.6,19.5,5.69,5.3,142.0,375.0
Tajine di agnello con prugne e mandorle,813.0,79.8,55.3,25.9,7.04,14.2,216.0,396.0
Salsiccia in padella,,,,,,,,
Cozze ripiene,336.0,40.0,6.0,11.6,3.03,3.9,134.0,878.0
Arrosto alla panna,436.0,2.9,2.8,31.2,14.73,0.3,160.0,406.0
Polpette di carne e patate,428.0,35.0,2.3,20.0,5.63,3.4,118.0,403.0
Hamburger di carne fatti in casa,,,,,,,,
Grostl alla tirolese,905.0,47.6,7.3,66.5,23.07,4.8,341.0,798.0
Polpettone di tonno,1219.0,20.4,2.9,101.0,17.26,2.7,179.0,482.0
Souvlaki di maiale,399.0,1.5,1.5,26.5,9.46,0.5,113.0,442.0
Abbacchio a scottadito,169.0,1.4,1.4,8.9,2.02,1.7,75.0,367.0
Rombo gratinato con verdure,355.0,28.1,7.2,9.6,1.43,3.9,147.0,919.0
Baccala con i ceci,374.0,17.4,9.6,13.0,2.07,13.4,90.0,4802.0
Frittata con farina di ceci,170.0,20.3,6.0,5.0,0.71,6.3,0.0,335.0
Medaglioni di merluzzo e broccoletti,161.0,10.5,2.3,7.8,1.17,2.1,33.0,446.0
Filetti di orata in gabbia,999.0,60.2,8.4,65.9,22.88,5.3,254.0,1457.0
Sgombro al cartoccio,285.0,5.4,5.3,19.5,4.0,2.7,111.0,518.0
Spiedini di calamari,,,,,,,,
Trota al cartoccio,297.0,5.9,2.3,16.9,2.97,1.1,110.0,402.0
Kofta (polpette mediorientali),,,,,,,,
Spiedini di pollo piccanti,238.0,7.3,6.7,9.9,1.61,0.4,75.0,338.0
Currywurst,1056.0,29.5,11.1,98.7,15.52,4.4,37.0,982.0
Cotolette vegetariane,630.0,41.5,3.0,44.0,10.62,5.1,113.0,596.0
Cima alla genovese,334.0,2.3,0.7,10.0,4.54,3.3,349.0,657.0
Porri e uova al forno,326.0,16.2,6.8,20.2,10.91,4.1,249.0,780.0
Tacchino al curry con verdure croccanti,306.0,18.2,18.1,2.9,0.87,5.4,100.0,631.0
Pollo Ripieno al forno,773.0,19.3,15.9,53.5,16.36,1.8,243.0,831.0
Tasca di vitello ripiena,634.0,35.4,3.8,27.6,6.76,4.5,176.0,891.0
Fettine al pomodoro timo e maggiorana,302.0,3.7,3.7,17.3,6.16,1.2,124.0,632.0
Parmigiana di alici,888.0,22.7,6.1,69.9,17.39,2.4,127.0,651.0
Quiche agli asparagi e mortadella,,,,,,,,
Arista di maiale con confettura di pomodori,579.0,45.2,45.1,24.5,6.92,3.2,166.0,451.0
Fish and chips,793.0,57.0,7.6,47.3,9.89,7.3,135.0,688.0
Trota al forno,175.0,2.1,2.1,12.7,2.05,1.3,45.0,417.0
Bastoncini di pesce,28.0,26.3,0.8,10.7,1.94,1.1,121.0,476.0
Fondue Bourguignonne,794.0,1.0,0.6,73.9,11.48,0.3,97.0,410.0
Tagliata al balsamico,333.0,1.1,1.1,18.0,4.49,0.3,120.0,696.0
Mazzancolle in padella,,,,,,,,
Salmone alle mele,336.0,8.8,8.0,24.4,4.77,2.6,35.0,4596.0
Spezzatino alla Guinness,703.0,57.4,10.9,26.3,8.31,6.3,139.0,546.0
Coda di rospo con patate,770.0,27.3,3.1,60.5,11.67,2.1,80.0,538.0
Enchiladas,441.0,21.1,5.6,21.8,10.31,2.3,118.0,543.0
Cotolette di spinaci,,,,,,,,
Frittata di patate e peperoni,296.0,26.0,4.1,15.6,3.78,3.6,277.0,454.0
Involtini alla pizzaiola,372.0,4.5,4.4,26.2,9.92,3.3,77.0,463.0
Coniglio all'ischitana,434.0,2.6,2.6,23.5,6.1,1.2,130.0,466.0
Gateau di patate con salsiccia e funghi,593.0,30.8,2.2,38.3,17.02,5.2,217.0,1074.0
Sovracosce di pollo in crosta,518.0,33.4,1.3,29.2,7.67,2.1,123.0,736.0
Calamari alle olive,365.0,2.3,2.3,28.1,9.6,1.6,135.0,521.0
Costolette d'agnello al forno,369.0,23.8,2.8,15.5,3.39,2.8,112.0,410.0
